kibana  | [2026-01-09T18:12:45.121+00:00][INFO ][plugins.securitySolution.siemRuleMigrations] Installing component template .kibana-siem-rule-migrations-rules
kibana  | [2026-01-09T18:12:45.122+00:00][INFO ][plugins.securitySolution.siemRuleMigrations] Installing component template .kibana-siem-rule-migrations-resources
kibana  | [2026-01-09T18:12:45.123+00:00][INFO ][plugins.securitySolution.siemRuleMigrations] Installing component template .kibana-siem-rule-migrations-migrations
kibana  | [2026-01-09T18:12:45.124+00:00][INFO ][plugins.securitySolution.siemDashboardMigrations] Installing component template .kibana-siem-dashboard-migrations-dashboards
kibana  | [2026-01-09T18:12:45.125+00:00][INFO ][plugins.securitySolution.siemDashboardMigrations] Installing component template .kibana-siem-dashboard-migrations-migrations
kibana  | [2026-01-09T18:12:45.127+00:00][INFO ][plugins.securitySolution.siemDashboardMigrations] Installing component template .kibana-siem-dashboard-migrations-resources
kibana  | [2026-01-09T18:12:45.135+00:00][INFO ][plugins.elasticAssistant.service] Installing component template .kibana-elastic-ai-assistant-component-template-conversations
kibana  | [2026-01-09T18:12:45.136+00:00][INFO ][plugins.securitySolution.siemRuleMigrations] Installing component template .kibana-siem-rule-migrations-integrations
kibana  | [2026-01-09T18:12:45.137+00:00][INFO ][plugins.securitySolution.siemRuleMigrations] Installing component template .kibana-siem-rule-migrations-prebuiltrules
kibana  | [2026-01-09T18:12:45.437+00:00][INFO ][plugins.taskManager] Kibana Discovery Service has been started
kibana  | [2026-01-09T18:12:45.526+00:00][WARN ][plugins.cases.incremental_id_task] Could not check status of cases:cases_incremental_id_assignment, will continue scheduling it.
kibana  | [2026-01-09T18:12:45.874+00:00][INFO ][plugins.monitoring.monitoring.kibana-monitoring] Starting monitoring stats collection
kibana  | [2026-01-09T18:12:51.493+00:00][INFO ][http.server.Kibana] http server running at http://0.0.0.0:5601
kibana  | [2026-01-09T18:12:51.522+00:00][INFO ][plugins.cases.incremental_id_task] cases:cases_incremental_id_assignment scheduled with interval 10m
kibana  | [2026-01-09T18:12:51.525+00:00][INFO ][plugins.fleet] Task Fleet-Usage-Logger-Task scheduled with interval 15m
kibana  | [2026-01-09T18:12:51.551+00:00][INFO ][plugins.slo.lock-manager] Component template .kibana_locks-component created or updated successfully.
kibana  | [2026-01-09T18:12:51.613+00:00][INFO ][plugins.securitySolution.health-diagnostic] Task scheduled
kibana  | [2026-01-09T18:12:51.642+00:00][INFO ][plugins.taskManager] Starting the task poller
kibana  | [2026-01-09T18:12:51.712+00:00][INFO ][plugins.reporting.store] Creating ILM policy for reporting data stream: kibana-reporting
kibana  | [2026-01-09T18:12:51.729+00:00][INFO ][plugins.telemetry] Telemetry collection is enabled. For more information on telemetry settings, refer to https://www.elastic.co/docs/reference/kibana/configuration-reference/telemetry-settings.
kibana  | [2026-01-09T18:12:51.742+00:00][INFO ][plugins.productDocBase.doc-manager] Updating product documentation to latest version for Inference IDs:
kibana  | [2026-01-09T18:12:51.899+00:00][INFO ][plugins.fleet.endpoint.agentPolicyLicenseWatch] Checking agent policies for compliance with the current license.
kibana  | [2026-01-09T18:12:52.039+00:00][INFO ][plugins.securitySolution.siemDashboardMigrations] Installing index template .kibana-siem-dashboard-migrations-migrations
kibana  | [2026-01-09T18:12:52.041+00:00][INFO ][plugins.securitySolution.siemRuleMigrations] Installing index template .kibana-siem-rule-migrations-rules
kibana  | [2026-01-09T18:12:52.050+00:00][INFO ][plugins.securitySolution.siemDashboardMigrations] Installing index template .kibana-siem-dashboard-migrations-dashboards
kibana  | [2026-01-09T18:12:52.054+00:00][INFO ][plugins.elasticAssistant.service] Installing index template .kibana-elastic-ai-assistant-index-template-conversations
kibana  | [2026-01-09T18:12:52.058+00:00][INFO ][plugins.securitySolution.siemRuleMigrations] Installing index template .kibana-siem-rule-migrations-integrations
kibana  | [2026-01-09T18:12:52.069+00:00][INFO ][plugins.ecsDataQualityDashboard] Installing index template .kibana-data-quality-dashboard-results-index-template
kibana  | [2026-01-09T18:12:52.074+00:00][INFO ][plugins.securitySolution.siemDashboardMigrations] Installing index template .kibana-siem-dashboard-migrations-resources
kibana  | [2026-01-09T18:12:52.078+00:00][INFO ][plugins.securitySolution.siemRuleMigrations] Installing index template .kibana-siem-rule-migrations-prebuiltrules
kibana  | [2026-01-09T18:12:52.084+00:00][INFO ][plugins.securitySolution.siemRuleMigrations] Installing index template .kibana-siem-rule-migrations-resources
kibana  | [2026-01-09T18:12:52.087+00:00][INFO ][plugins.securitySolution.siemRuleMigrations] Installing index template .kibana-siem-rule-migrations-migrations
kibana  | [2026-01-09T18:12:52.146+00:00][INFO ][plugins.securitySolution] Installing component template .edr-workflow-insights-component-template
kibana  | [2026-01-09T18:12:52.220+00:00][INFO ][plugins.slo.lock-manager] Index template .kibana_locks-index-template created or updated successfully.
kibana  | [2026-01-09T18:12:52.258+00:00][INFO ][status.plugins.alerting] alerting plugin is now available: Alerting is (probably) ready
kibana  | [2026-01-09T18:12:52.259+00:00][INFO ][status.plugins.fleet] fleet plugin is now available: Fleet is setting up
kibana  | [2026-01-09T18:12:52.260+00:00][INFO ][status.plugins.licensing] licensing plugin is now available: License fetched
kibana  | [2026-01-09T18:12:52.261+00:00][INFO ][status.plugins.taskManager] taskManager plugin is now available: Task Manager is healthy
kibana  | [2026-01-09T18:12:52.284+00:00][INFO ][plugins.reporting.store] Linking ILM policy to reporting data stream: .kibana-reporting, component template: kibana-reporting@custom
kibana  | [2026-01-09T18:12:52.369+00:00][INFO ][status] Kibana is now available
kibana  | [2026-01-09T18:12:52.383+00:00][INFO ][plugins.eventLog] Installing index template .kibana-event-log-template
